City,Region,Country,ParentLocation,AirQuality,WaterPollution
Orem,Utah,United States of America,Americas,65.625,33.33333333
Ogden,Utah,United States of America,Americas,80.55555556,0
Rosario,Santa Fe Province,Argentina,Americas,71.42857143,57.14285714
Mar del Plata,Buenos Aires Province,Argentina,Americas,82.14285714,35.71428571
Richmond Hill,Ontario,Canada,Americas,89.28571429,8.333333333
Newmarket,Ontario,Canada,Americas,100,0
Saltillo,Coahuila,Mexico,Americas,68.33333333,42.85714286
Bahia Blanca,Buenos Aires Province,Argentina,Americas,58.33333333,58.33333333
Haverhill,Massachusetts,United States of America,Americas,100,50
Beverly,Massachusetts,United States of America,Americas,100,0
Medford,Massachusetts,United States of America,Americas,100,0
Woburn,Massachusetts,United States of America,Americas,87.5,50
Norwalk,Connecticut,United States of America,Americas,75,30
East Providence,Rhode Island,United States of America,Americas,100,50
Woonsocket,Rhode Island,United States of America,Americas,80,100
Valencia,Carabobo,Venezuela,Americas,39.28571429,96.42857143
Cuenca,Azuay Province,Ecuador,Americas,45.39473684,28.67647059
Punta del Este,Maldonado Department,Uruguay,Americas,81.25,50
San Bernardo,Santiago Metropolitan Region,Chile,Americas,10.88709677,88.72282609
Venice,Florida,United States of America,Americas,91.66666667,16.66666667
Banff,Alberta,Canada,Americas,100,0
Columbia,Missouri,United States of America,Americas,96.42857143,25
Napa,California,United States of America,Americas,92.85714286,37.5
Campeche,Campeche,Mexico,Americas,80,68.75
Chihuahua City,Chihuahua,Mexico,Americas,81.25,47.91666667
Colima,Colima,Mexico,Americas,75,37.5
Brandon,Manitoba,Canada,Americas,85,40
Jonesboro,Arkansas,United States of America,Americas,50,50
Barranquilla,Atlantico Department,Colombia,Americas,52.77777778,50
Marion,Arkansas,United States of America,Americas,0,75
Cabot,Arkansas,United States of America,Americas,75,25
Russellville,Arkansas,United States of America,Americas,93.75,50
Bullhead City,Arizona,United States of America,Americas,100,50
Texarkana,Arkansas,United States of America,Americas,87.5,50
Rogers,Arkansas,United States of America,Americas,87.5,12.5
Dothan,Alabama,United States of America,Americas,100,62.5
Fort Smith,Arkansas,United States of America,Americas,95,25
Tuscaloosa,Alabama,United States of America,Americas,86.11111111,40
Fairbanks,Alaska,United States of America,Americas,68.18181818,10
Van Buren,Arkansas,United States of America,Americas,100,50
Kingman,Arizona,United States of America,Americas,100,75
Florence,Alabama,United States of America,Americas,100,50
Yuma,Arizona,United States of America,Americas,77.77777778,45
Flagstaff,Arizona,United States of America,Americas,100,18.75
Palmer,Alaska,United States of America,Americas,95,0
Huntsville,Alabama,United States of America,Americas,95,25
Mobile,Alabama,United States of America,Americas,75,57.14285714
Maricopa,Arizona,United States of America,Americas,100,50
Murfreesboro,Arkansas,United States of America,Americas,87.5,37.5
Sierra Vista,Arizona,United States of America,Americas,75,30
Seward,Alaska,United States of America,Americas,100,0
Hot Springs,Arkansas,United States of America,Americas,100,0
Prescott,Arizona,United States of America,Americas,96.42857143,25
Wasilla,Alaska,United States of America,Americas,96.42857143,33.33333333
Kodiak,Alaska,United States of America,Americas,100,25
Shreveport,Louisiana,United States of America,Americas,78.125,91.66666667
Monterrey,Nuevo Leon,Mexico,Americas,23.79310345,50
Acapulco,Guerrero,Mexico,Americas,36.36363636,77.27272727
Gresham,Oregon,United States of America,Americas,100,0
Beaverton,Oregon,United States of America,Americas,81.25,6.25
Santos,Sao Paulo,Brazil,Americas,65.625,18.75
Temuco,Araucania Region,Chile,Americas,18.75,37.5
Goiania,Goias,Brazil,Americas,68.75,39.58333333
Savannah,Georgia,United States of America,Americas,64.0625,52.08333333
London,Ontario,Canada,Americas,69.82758621,51
Sugar Land,Texas,United States of America,Americas,87.5,37.5
Greeley,Colorado,United States of America,Americas,95,0
Waukesha,Wisconsin,United States of America,Americas,87.5,50
Appleton,Wisconsin,United States of America,Americas,89.28571429,25
Belize City,Belize District,Belize,Americas,50,77.77777778
Pelotas,Rio Grande do Sul,Brazil,Americas,50,50
