IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.52,,,9.99,,13.25,11.52 [9.99-13.25],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LVA,Latvia,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.55,,,10.04,,13.08,11.55 [10.04-13.08],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PAN,Panama,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,11.6,,,8.58,,15.76,11.60 [8.58-15.76],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,BRA,Brazil,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.75,,,10.48,,13.56,11.75 [10.48-13.56],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LTU,Lithuania,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.83,,,10.98,,12.65,11.83 [10.98-12.65],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PAN,Panama,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.85,,,8.33,,15.4,11.85 [8.33-15.40],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DEU,Germany,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,11.92,,,11.73,,12.15,11.92 [11.73-12.15],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,ARG,Argentina,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,11.97,,,8.14,,16.58,11.97 [8.14-16.58],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,GUY,Guyana,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,12.01,,,6.2,,20.48,12.01 [6.20-20.48],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,FRA,France,Year,2019,TRUE,Residence Area Type,Cities,RESIDENCEAREATYPE_CITY,,,,,,,,,,12.03,,,11.75,,12.37,12.03 [11.75-12.37],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,AMR,Americas,Country,PAN,Panama,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,12.05,,,8.88,,16.7,12.05 [8.88-16.70],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,12.06,,,8.9,,15.44,12.06 [8.90-15.44],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,UKR,Ukraine,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,12.15,,,9.11,,15.73,12.15 [9.11-15.73],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,MLT,Malta,Year,2019,TRUE,Residence Area Type,Towns,RESIDENCEAREATYPE_TOWN,,,,,,,,,,12.21,,,10.45,,14.34,12.21 [10.45-14.34],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ROU,Romania,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,12.23,,,11.49,,12.95,12.23 [11.49-12.95],,,EN,2022-08-11T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,ITA,Italy,Year,2019,TRUE,Residence Area Type,rural,RESIDENCEAREATYPE_RUR,,,,,,,,,,12.26,,,12.04,,12.53,12.26 [12.04-12.53],,,EN,2022-08-11T23:00:00.000Z
